2018-05-05 00:01:02 	 [ INFO] 	 <main.go:38>  	 *********************************************
2018-05-05 00:01:02 	 [ INFO] 	 <main.go:39>  	            系统:[IM]版本:[1.0]
2018-05-05 00:01:02 	 [ INFO] 	 <main.go:40>  	 *********************************************
2018-05-05 00:01:02 	 [ INFO] 	 <config.go:70>  	 db:root:root@tcp(127.0.0.1:3306)/gim?parseTime=true&charset=utf8
2018-05-05 00:01:02 	 [ INFO] 	 <config.go:80>  	 连接数据库成功
2018-05-05 00:01:02 	 [ INFO] 	 <httpserver.go:18>  	 Http服务器启动中...
2018-05-05 00:01:02 	 [ INFO] 	 <httpserver.go:22>  	 Http服务器开始监听[9002]端口
2018-05-05 00:01:02 	 [ INFO] 	 <httpserver.go:23>  	 *********************************************
2018-05-05 00:01:05 	 [ INFO] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:52505] 

2018-05-05 00:01:07 	 [DEBUG] 	 <auth_handle.go:84>  	 auth token:58b70f11-e280-40d8-8ddd-a3810bd65f7a appid:10 uid:10001 device id: forbidden:0
2018-05-05 00:01:34 	 [ INFO] 	 <main.go:38>  	 *********************************************
2018-05-05 00:01:34 	 [ INFO] 	 <main.go:39>  	            系统:[IM]版本:[1.0]
2018-05-05 00:01:34 	 [ INFO] 	 <main.go:40>  	 *********************************************
2018-05-05 00:01:34 	 [ INFO] 	 <config.go:70>  	 db:root:root@tcp(127.0.0.1:3306)/gim?parseTime=true&charset=utf8
2018-05-05 00:01:34 	 [ INFO] 	 <config.go:80>  	 连接数据库成功
2018-05-05 00:01:34 	 [ INFO] 	 <httpserver.go:18>  	 Http服务器启动中...
2018-05-05 00:01:34 	 [ INFO] 	 <httpserver.go:22>  	 Http服务器开始监听[9002]端口
2018-05-05 00:01:34 	 [ INFO] 	 <httpserver.go:23>  	 *********************************************
2018-05-05 00:01:38 	 [ INFO] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:52534] 

2018-05-05 00:01:39 	 [DEBUG] 	 <auth_handle.go:84>  	 auth token:58b70f11-e280-40d8-8ddd-a3810bd65f7a appid:10 uid:10001 device id: forbidden:0
2018-05-05 00:07:39 	 [ INFO] 	 <protocol.go:136>  	 sock read error:read tcp 127.0.0.1:62310->127.0.0.1:52534: i/o timeout
2018-05-05 00:07:39 	 [ INFO] 	 <client.go:145>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-05-05 00:07:39 	 [ INFO] 	 <client.go:110>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 socket closed
2018-05-05 00:14:34 	 [ INFO] 	 <main.go:38>  	 *********************************************
2018-05-05 00:14:34 	 [ INFO] 	 <main.go:39>  	            系统:[IM]版本:[1.0]
2018-05-05 00:14:34 	 [ INFO] 	 <main.go:40>  	 *********************************************
2018-05-05 00:14:34 	 [ INFO] 	 <config.go:70>  	 db:root:root@tcp(127.0.0.1:3306)/gim?parseTime=true&charset=utf8
2018-05-05 00:14:34 	 [ INFO] 	 <config.go:80>  	 连接数据库成功
2018-05-05 00:14:34 	 [ INFO] 	 <httpserver.go:18>  	 Http服务器启动中...
2018-05-05 00:14:34 	 [ INFO] 	 <httpserver.go:22>  	 Http服务器开始监听[9002]端口
2018-05-05 00:14:34 	 [ INFO] 	 <httpserver.go:23>  	 *********************************************
2018-05-05 00:18:34 	 [ INFO] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:52829] 

