2018-06-20 00:01:05 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-20 00:03:08 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-20 00:05:07 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-20 00:06:33 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-20 00:06:33 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-20 00:06:33 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-20 00:06:33 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-20 00:06:44 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64309]
2018-06-20 00:06:44 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-20 00:07:13 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-20 00:07:13 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-20 00:07:13 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-20 00:07:13 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-20 00:07:21 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64418]
2018-06-20 00:07:21 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-20 00:07:43 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-20 00:07:43 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-20 00:07:43 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-20 00:07:43 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-20 00:07:51 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64518]
2018-06-20 00:07:51 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-20 00:08:56 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-20 00:08:56 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-20 00:08:56 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-20 00:08:56 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-20 00:09:04 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64658]
2018-06-20 00:09:04 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-20 00:11:05 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-20 00:12:39 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-20 00:12:39 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-20 00:12:39 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-20 00:12:39 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-20 00:12:52 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64946]
2018-06-20 00:12:52 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-20 00:13:32 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-20 00:13:32 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-20 00:13:32 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-20 00:13:32 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-20 00:13:39 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:65075]
2018-06-20 00:13:39 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-20 00:13:51 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-20 00:13:51 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-20 00:13:51 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-20 00:13:51 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-20 00:13:58 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:65166]
2018-06-20 00:13:58 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-20 00:14:39 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-20 00:14:39 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-20 00:14:39 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-20 00:14:39 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-20 00:14:46 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:65283]
2018-06-20 00:14:46 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-20 00:15:53 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-20 00:15:53 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-20 00:15:53 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-20 00:15:53 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-20 00:16:01 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:65429]
2018-06-20 00:16:01 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-20 00:17:28 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-20 00:17:28 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-20 00:17:28 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-20 00:17:28 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-20 00:17:38 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:49213]
2018-06-20 00:17:38 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-20 00:18:26 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-20 00:18:26 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-20 00:18:26 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-20 00:18:26 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-20 00:18:33 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:49349]
2018-06-20 00:18:34 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-20 00:18:35 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-20 00:18:35 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-20 00:18:35 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-20 00:18:35 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
